day,Actor2Code_counts,count
27,BUS,6
27,chp,1
27,JUD,2
27,MED,2
27,CAN,1
27,NMR,1
27,CANGOV,1
27,USAJUD,1
27,GOV,1
27,CRM,1
27,EDU,1
28,AFG,1
28,JUD,6
28,GOV,2
28,LEG,2
28,BUS,4
28,USACVL,3
28,USA,22
28,RAD,1
28,SPY,1
28,GTM,1
28,OPP,2
28,USAELI,1
28,COP,10
28,USACOP,2
28,NGOUSAJEW,1
28,CVL,2
28,USAGOV,1
28,GBREDU,1
28,MIL,4
28,MEX,1
28,EDU,1
28,AUS,1
28,GOVRAD,1
28,GBR,1
28,JOR,1
28,OPPCRM,1
28,LAB,1
28,EUR,1
28,CHR,2
28,MED,1
28,USAMED,1
28,USALEG,1
29,EDU,2
29,USA,4
29,LEG,2
29,GOV,2
29,BUS,4
29,OPP,2
29,JUD,1
29,REL,2
29,FRA,1
29,LAB,1
29,USABUS,1
29,ELI,1
29,CHN,1
29,COP,1
29,CVL,2
30,LAB,3
30,GOVLAB,1
30,LEG,1
30,COP,2
30,MED,2
30,USA,8
30,HLH,1
30,PTY,1
30,UAF,1
30,OPP,1
31,UAF,1
31,USAGOV,3
31,USA,18
31,EDU,2
31,CVL,2
31,COP,4
31,CVLHLH,1
31,GOV,10
31,VNM,1
31,CHNLAB,1
31,REL,1
31,EGYHLH,2
31,USAJUD,1
31,NIC,1
31,BUS,2
31,USAMED,1
31,MED,5
31,USAEDU,1
31,ELI,1
31,HLH,1
31,LAB,2
31,SPY,1
31,SEA,1
31,JUD,3
32,JUD,3
32,COP,9
32,USAGOV,3
32,USAELI,2
32,USA,19
32,MNCUSA,1
32,BUS,5
32,LAB,1
32,USAPTY,1
32,CRMJUD,1
32,EDU,1
32,MIL,3
32,GOV,5
32,MNCJPN,1
32,LEG,1
32,MED,1
32,GOVHLH,3
32,CVL,6
32,USALEG,1
32,USAJUD,1
32,CODGOV,1
32,ELI,1
32,USACOP,1
32,USAPRI,1
32,CAN,4
33,PTY,2
33,USA,30
33,MED,4
33,EDU,2
33,GOV,5
33,CVL,4
33,BUS,9
33,JUD,3
33,CAN,3
33,MEDBUS,3
33,COP,11
33,ELI,1
33,LEG,1
33,GTM,1
33,USACOP,1
33,LAB,4
33,USAGOV,1
33,REL,1
33,MIL,2
33,USALEG,1
33,NOR,1
33,CHR,1
33,USACVL,1
33,SPY,2
34,COP,5
34,USA,31
34,USACVL,5
34,SLV,1
34,EDU,4
34,GOV,5
34,MEDEDU,1
34,USAGOV,3
34,USAEDU,3
34,CVL,2
34,KHMREF,1
34,JUD,4
34,KHM,2
34,CAN,2
34,LEG,5
34,MIL,1
34,AFR,1
34,CHRCTH,2
34,BOLCOP,4
34,LAB,2
34,RUS,2
34,REL,1
34,OPP,2
34,MCOELI,1
34,MED,2
34,CRM,1
34,LKA,1
35,MNC,2
35,BUS,4
35,USA,13
35,ELI,1
35,GOV,2
35,EDU,3
35,CHRCTH,1
35,GBR,1
35,USAGOV,1
35,COP,2
36,COP,4
36,USA,1
36,USACOP,3
36,BUS,1
36,USACVL,1
36,MED,1
36,GOV,1
37,USA,5
37,BUS,3
37,CAN,1
37,CUB,1
38,JUD,1
38,USA,14
38,GOVHLH,1
38,USAGOVMIL,1
38,GOVMIL,1
38,COP,6
38,CVL,1
38,VENHLH,1
38,USALEG,1
38,USAGOV,1
38,LEG,2
38,EDU,4
38,CAN,1
38,GBR,2
38,GOVCOP,1
38,AFR,1
38,BUS,2
38,GOV,2
38,USACOP,2
38,OPP,1
38,MILJUD,1
38,MEX,1
